Please can you send me the proof of NCD?, ncd_proof
Please can you send me the proof of ncd  for policy xxx ?, ncd_proof
Can you please send me a proof of No Claims Bonus ?, ncd_proof
Can you please send me a proof of No Claims Discount?, ncd_proof
Can you please send me an up to date NCD confirmation? , ncd_proof
I'm not renewing. Please send my proof of No Claims Discount., ncd_proof
Hello, can you please send me proof of my NCD for my new insurer?, ncd_proof
Please can you send me my NCD as i need to use it for another car / policy ?, ncd_proof
I've now cancelled my policy. Could you please send me my proof of No Claims Discount ?, ncd_proof
I've changed my email address. Could you please resent me my proof of No Claims Discount., ncd_proof
I've cancelled my policy today. When will I be able to see and print out an update NCD proof for new insurer?, ncd_proof
Can you please send me a proof of No Claims discount . I cancelled my policy but I have not received an email with the NCD document. Can you please resent ?, ncd_proof
Hi.I need proof of my ncd and also stating that from the start of my policy to present date I have made no claims or had any accidents please can you provide this in writing via email asap. , ncd_proof
I need proof of my ncd and also stating that from the start of my policy to present date I have made no claims or had any accidents, please can you provide this in writing via email?, ncd_proof
Please email our proof of No Claims Discount on the car we have insured with you as we need proof of NCD to enable us to insure our new Motorhome with the Caravan and Motorhome club., ncd_proof
Hey I would like to request my NCD proof. I have cancelled my insurance and yet I have not received my NCD proof which I need for my new insurance. Pleas could you send it to me as soon as possible., ncd_proof
Can you send me my NCD ?, ncd_proof

I thought my NCD was X years it appears to be Y years, is that a problem?, ncd_change_years
I cannot upload my NCD also I quoted X yrs but it is Y years how do I alter this?, ncd_change_years
I put in X years NCD and it's actually Y...How can I change the quote etc please?, ncd_change_years
Hi I've made a mistake on my policy. I've got X years NCD not Y. Can you please change it for me?, ncd_change_years
 When I fill an application I was sure I have no claim more than X year. I'm afraid, I have Y. Please help., ncd_change_years
I'm trying to upload my NCD but I need to change the number of years as I only have X yea NCD instead of Y. , ncd_change_years
Hi I entered X years no claims when I actually have Y years. Please can you update your records and adjust the price. , ncd_change_years
I need to upload my NCD but have realised I've made an error. I only have x years NCD instead of Y. How do I rectify this? , ncd_change_years
When I took the policy I said I have X years NCD but when I phoned my insurance I actually had Y. Could you please update?, ncd_change_years
HiWhen I buy my car insurance i mark NCD as X years but recognise is Y years already.Is any possibility to review my policy and I will get better offer?, ncd_change_years
have quoted my NCD as X years but my current insurance document shows only Y years and not the NCD I've had with previous insurers. Please advise., ncd_change_years
When filling out the quote questionnaire I thought I had put X NCB but I hit Y year NCB. Can you please recalculate my insurance without the Y year NCB discount., ncd_change_years
While applying for Insurance I had incorrectly mentioned NCD as X years however I have Y years as per the letter from my previous insurer. Kindly update your record, ncd_change_years
I started my policy with X years ncd but now have my Y years from my prior insurer and would like to upload and also have my policy changed to reflect this Please help., ncd_change_years
sorry I stated that I had X years no claims but my previous insurance have said that I Have Y years and they will send over the NCD tonight is there anyway I can change this?, ncd_change_years
I Have put in the wrong number of years for the NCD can you change it from X years to Y years and update my policy so that the direct debit payment should be lower as well., ncd_change_years
Hi I insured my car yesterday. I put X year NCD. My previous Insurance Company said to me that I have Y Years NCD. If I send X years NCD is there any deduction by any chance ? Please let me know., ncd_change_years
Hi, I need to amend my policy NCD years to X instead of Y as stated on my policy. I was under the impression that I had X years no claims but my documents I will send across as proof state just Y. is this a problem? , ncd_change_years
I've just receiv d my ncd details from my last insurer and it is showing as only X years rather than the Y that we're stored in the price comparison website I used. Do I need to cancel my policy as the details I applied with are incorrect., ncd_change_years
Hi there when I put in my details I said that I had X year NCD. When I received my proof from my previous insurance company I realised that it should actually be Y years. I have tried to upload the proof online, but it will not let me as it says you have automatically received the NCD. Please update my Policy for me., ncd_change_years
When I applied for the insurance policy I thought I had X years NCD. But it turns out I only have Y for this car. The X years has been accumulated on our *other* car. Shall I just upload evidence of the Y years or do you need to recalculate the price of the policy first?, ncd_change_years
Hi. When I bought the policy I put the wrong amount of NCD years.This should have been X (not Y).Is there any way you could amend the policy and if there is any reduction in the policy fee I would be very grateful if you could refund it to my card, ncd_change_years
I have sent though my previous years NCD which states X years. I actually have Y years could you please update you records and I will forward you the new for as soon as my previous emplyer sends me it.They stated I had X years by mistake I actually have Y, ncd_change_years
When completing my quote I entered that I had X year of NCD and the proof I sent also shows X year. Upon looking through my documents it is showing Y years of NCD as information provided by me which is incorrect and the cost of my premiums has been lowered. Can you please change this to X year so the cost can go back to normal and so I have correct information in my account, ncd_change_years

I don’t know to upload my NCD., ncd_upload
I can't find the link to upload NCD., ncd_upload
How do I upload my proof of NCD ?, ncd_upload
Iam unsure how to upload my NCD , ncd_upload
I am having trouble uploading my NCD. , ncd_upload
Having a problem uploading ncd. Please help?, ncd_upload
Iam unsure how to upload my No Claims Bonus, ncd_upload
How do I upload my proof of No Claims Bonus?, ncd_upload
How do I upload my proof of No Claims Discount?, ncd_upload
Iam unsure how to upload my No Claims Discount, ncd_upload
I am having trouble uploading my No Claims Bonus., ncd_upload
I am having trouble uploading my No Claims Discount., ncd_upload
Can you send me instructions on how to upload my NCD?, ncd_upload
I don't know how to upload my No Claims Bonus. Can you help?, ncd_upload
I don't know how to upload my No Claims Discount. Can you help?, ncd_upload
Can you send me instructions on how to upoload my No Claims Discount?, ncd_upload
I can not upload my NCD as I don't have a scanner and cannot borrow one either., ncd_upload
My insurer have sent my NCD in the form of an email How can I send this on to you? , ncd_upload
I have taken a picture of my NCD letter from my previous insurer, but it won't upload?, ncd_upload

Please can you protect my NCD?, ncd_protect
Please add protection to my NCD, ncd_protect
Could you please add protection to my NCD?, ncd_protect
Please add protection to my No Claims Bonus., ncd_protect
Can you add protection to my No Claims Discount?, ncd_protect
Please can you protect my proof of No Claims Discount?, ncd_protect
How can I add protection to my No Claims Bonus? Help., ncd_protect
How can I add protection to my No Claims Discount? Help., ncd_protect
Could you please add protection to my No Claims Bonus? , ncd_protect
I wish to protect my NCD but cannot amend my policy, ncd_protect
I wish to protect my No Claims Bonus but cannot amend my policy., ncd_protect
I wish to protect my No Claims Discount but cannot amend my policy, ncd_protect
