====================
ncd_proof

proof , 0.6803017854690552 |
NCD , 0.31969818472862244 |
proof , 0.3796639144420624 |
ncd , 0.3507951498031616 |
policy xxx , 0.2695409655570984 |
proof , 0.5834760665893555 |
No Claims Bonus , 0.41652393341064453 |
proof , 0.5834760665893555 |
No Claims Discount , 0.41652393341064453 |
confirmation , 0.7850688695907593 |
NCD , 0.21493114531040192 |
proof , 0.5674193501472473 |
No Claims Discount , 0.4325806498527527 |
proof , 0.38062000274658203 |
NCD , 0.351035475730896 |
insurer , 0.268344521522522 |
NCD , 0.6640838384628296 |
car / policy , 0.3359161615371704 |
policy , 0.7145647406578064 |
No Claims Discount , 0.17517460882663727 |
proof , 0.11026068031787872 |
email address , 0.7145647406578064 |
No Claims Discount , 0.17517460882663727 |
proof , 0.11026068031787872 |
policy , 0.5898666381835938 |
proof , 0.22350724041461945 |
insurer , 0.10107618570327759 |
NCD , 0.08554992079734802 |
proof , 0.3418497145175934 |
discount , 0.23439757525920868 |
No Claims , 0.14047951996326447 |
policy , 0.11584729701280594 |
document , 0.0804879292845726 |
NCD , 0.0477805957198143 |
email , 0.03915736824274063 |
proof , 0.27693280577659607 |
Hi. , 0.19775784015655518 |
ncd , 0.12968292832374573 |
policy , 0.08978809416294098 |
start , 0.08872231841087341 |
claims , 0.08258049935102463 |
writing , 0.06264419108629227 |
email , 0.044111575931310654 |
accidents , 0.02777974307537079 |
proof , 0.3522647023200989 |
ncd , 0.1655755639076233 |
policy , 0.1147550418972969 |
start , 0.11339597404003143 |
claims , 0.10556257516145706 |
writing , 0.05644291639328003 |
email , 0.05644291639328003 |
accidents , 0.03556029871106148 |
proof , 0.3937787413597107 |
No Claims Discount , 0.14239026606082916 |
Motorhome , 0.13475848734378815 |
car , 0.09741602092981339 |
proof , 0.08804263174533844 |
NCD , 0.054189059883356094 |
club , 0.04843397065997124 |
Caravan , 0.04099084064364433 |
proof , 0.7404856085777283 |
NCD , 0.14612716436386108 |
insurance , 0.07177405804395676 |
insurance , 0.022202041000127792 |
Pleas , 0.019411128014326096 |
NCD , 1.0 |
====================
ncd_change_years

NCD , 0.880223274230957 |
problem , 0.11977671831846237 |
NCD , 1.0 |
NCD , 0.552222728729248 |
quote , 0.44777727127075195 |
mistake , 0.5321468114852905 |
policy , 0.3674938380718231 |
NCD , 0.10035937279462814 |
application , 1.0 |
NCD , 0.6489090919494629 |
number , 0.2962040603160858 |
X , 0.054886821657419205 |
claims , 0.6960327625274658 |
records , 0.16934016346931458 |
price , 0.1346270591020584 |
NCD , 0.5742179751396179 |
error , 0.4257820248603821 |
policy , 0.5091414451599121 |
insurance , 0.2982195019721985 |
NCD , 0.1926390528678894 |
HiWhen , 0.3519422113895416 |
car insurance , 0.2552995979785919 |
possibility , 0.14912371337413788 |
offer , 0.10182321816682816 |
NCD , 0.09972351789474487 |
policy , 0.04208774119615555 |
NCD , 0.4793396294116974 |
insurance document , 0.2655843496322632 |
insurers , 0.25507602095603943 |
quote questionnaire , 0.37254059314727783 |
NCB , 0.22762946784496307 |
X NCB , 0.1905573010444641 |
insurance , 0.0880078673362732 |
discount , 0.061814501881599426 |
Y , 0.05945025011897087 |
Insurance , 0.6006180047988892 |
insurer , 0.12507903575897217 |
NCD , 0.09363050013780594 |
X , 0.09363050013780594 |
letter , 0.04922927916049957 |
record , 0.037812694907188416 |
policy , 0.5870221853256226 |
insurer , 0.15383736789226532 |
X , 0.13395757973194122 |
policy , 0.1251828521490097 |
claims , 0.5651333928108215 |
insurance , 0.36203131079673767 |
NCD , 0.07283532619476318 |
number , 0.44613122940063477 |
direct debit payment , 0.26856252551078796 |
NCD , 0.1867830604314804 |
policy , 0.09852318465709686 |
car , 0.6074607968330383 |
NCD , 0.14861372113227844 |
deduction , 0.06785590201616287 |
NCD , 0.05823852866888046 |
chance , 0.05651213228702545 |
Insurance Company , 0.04455903545022011 |
X , 0.01675989478826523 |
impression , 0.4425698220729828 |
policy , 0.23517630994319916 |
policy , 0.16297194361686707 |
state , 0.04853816330432892 |
problem , 0.04348912462592125 |
documents , 0.025698447600007057 |
claims , 0.021381588652729988 |
Y. , 0.02017461694777012 |
insurer , 0.33305004239082336 |
Y , 0.27767878770828247 |
details , 0.2040051817893982 |
price comparison website , 0.10437782108783722 |
details , 0.042548131197690964 |
policy , 0.03834003210067749 |
details , 0.36112695932388306 |
proof , 0.22382864356040955 |
NCD , 0.16183482110500336 |
insurance company , 0.14700286090373993 |
proof , 0.05890846997499466 |
NCD , 0.024387313053011894 |
Policy , 0.022910933941602707 |
insurance policy , 0.5261713862419128 |
NCD , 0.11255377531051636 |
car , 0.07157886773347855 |
Y , 0.0698610171675682 |
car , 0.06541893631219864 |
X , 0.042318034917116165 |
policy , 0.03456634283065796 |
price , 0.030382098630070686 |
Y , 0.0292164646089077 |
evidence , 0.017933057621121407 |
amount , 0.4381571114063263 |
policy , 0.2925545871257782 |
way , 0.0796046108007431 |
NCD , 0.05750783160328865 |
policy , 0.05528024584054947 |
card , 0.03228158876299858 |
reduction , 0.02435348369181156 |
policy fee , 0.020260516554117203 |
NCD , 0.8240182995796204 |
records , 0.09818518161773682 |
mistake , 0.04779522120952606 |
emplyer , 0.030001327395439148 |
quote , 0.393801748752594 |
information , 0.15447768568992615 |
proof , 0.11859533190727234 |
NCD , 0.1086093857884407 |
cost , 0.049433160573244095 |
documents , 0.04676778241991997 |
premiums , 0.04346403852105141 |
cost , 0.0362435020506382 |
information , 0.02572365291416645 |
account , 0.022883707657456398 |
====================
ncd_upload

NCD , 1.0 |
link , 0.7771227359771729 |
NCD , 0.22287726402282715 |
proof , 0.6680331826210022 |
NCD , 0.3319668173789978 |
Iam , 0.8248868584632874 |
NCD , 0.17511311173439026 |
trouble , 0.7628756761550903 |
NCD , 0.23712429404258728 |
problem , 0.5884791612625122 |
ncd , 0.4115208387374878 |
Iam , 0.8688449263572693 |
No Claims Bonus , 0.1311550885438919 |
proof , 0.5699549913406372 |
No Claims Bonus , 0.4300449788570404 |
proof , 0.5699549913406372 |
No Claims Discount , 0.4300449788570404 |
Iam , 0.8006641268730164 |
No Claims Discount , 0.19933585822582245 |
trouble , 0.706957221031189 |
No Claims Bonus , 0.29304277896881104 |
trouble , 0.5946394205093384 |
No Claims Discount , 0.4053605794906616 |
instructions , 0.7092536091804504 |
NCD , 0.29074639081954956 |
No Claims Bonus , 1.0 |
No Claims Discount , 1.0 |
instructions , 0.5820764303207397 |
No Claims Discount , 0.41792356967926025 |
scanner , 0.3732541799545288 |
NCD , 0.3374832570552826 |
one , 0.2892625629901886 |
NCD , 0.39619678258895874 |
insurer , 0.3084065914154053 |
form , 0.1537521481513977 |
email , 0.14164447784423828 |
picture , 0.6492331027984619 |
letter , 0.1392318308353424 |
insurer , 0.128330796957016 |
NCD , 0.08320428431034088 |
====================
ncd_protect

NCD , 1.0 |
protection , 0.6912535429000854 |
NCD , 0.30874645709991455 |
protection , 0.5834760665893555 |
NCD , 0.41652393341064453 |
protection , 0.7577608227729797 |
No Claims Bonus , 0.24223919212818146 |
protection , 0.5807878971099854 |
No Claims Discount , 0.41921207308769226 |
proof , 0.5255382061004639 |
No Claims Discount , 0.4744618237018585 |
protection , 0.5947998762130737 |
Help , 0.21144768595695496 |
No Claims Bonus , 0.19375242292881012 |
protection , 0.5947998762130737 |
Help , 0.21144768595695496 |
No Claims Discount , 0.19375242292881012 |
protection , 0.5807878971099854 |
No Claims Bonus , 0.41921207308769226 |
NCD , 0.679320752620697 |
policy , 0.32067927718162537 |
policy , 0.5227815508842468 |
No Claims Bonus , 0.47721847891807556 |
No Claims Discount , 0.679320752620697 |
policy , 0.32067927718162537 |
car policy , 0.3764532208442688 |
protection , 0.3117702305316925 |
NCD , 0.18943272531032562 |
policy , 0.12234383076429367 |
car policy , 0.3280114531517029 |
protection , 0.27165183424949646 |
policy , 0.23528006672859192 |
No Claims Bonus , 0.16505664587020874 |
car policy , 0.2843252420425415 |
Claims , 0.2762586176395416 |
protection , 0.23547185957431793 |
policy , 0.20394428074359894 |
NCD , 0.3798231780529022 |
picture , 0.35392147302627563 |
website , 0.26625531911849976 |
NCD , 1.0 |
picture , 0.4432121217250824 |
No Claims Bonus , 0.3273301124572754 |
website , 0.2294577658176422 |
NCD , 0.6916927695274353 |
change , 0.17437231540679932 |
change , 0.13393491506576538 |
No Claims Discount , 0.6065021753311157 |
change , 0.22255438566207886 |
change , 0.1709434539079666 |
No Claims Bonus , 0.4806033670902252 |
change , 0.29376021027565 |
change , 0.22563643753528595 |
protection , 0.4576064944267273 |
NCD , 0.31689247488975525 |
insurance , 0.22550101578235626 |
picture , 0.4432121217250824 |
No Claims Discount , 0.3273301124572754 |
website , 0.2294577658176422 |
No Claims Bonus , 0.732450544834137 |
NCD , 0.26754942536354065 |
No Claims Discount , 0.8183485269546509 |
NCD , 0.18165148794651031 |
protection , 0.4559173882007599 |
No Claims Bonus , 0.319413959980011 |
insurance , 0.22466866672039032 |
protection , 0.4559173882007599 |
No Claims Discount , 0.319413959980011 |
insurance , 0.22466866672039032 |
NCD , 0.6916927695274353 |
change , 0.17437231540679932 |
change , 0.13393491506576538 |
====================
ncd_years_have

records , 1.0 |
records , 0.8132833242416382 |
Claims Bonus , 0.18671664595603943 |
records , 0.7885753512382507 |
Claims Discount , 0.21142463386058807 |
record , 1.0 |
Claims Bonus , 0.52835613489151 |
record , 0.4716438353061676 |
Claims , 0.39831843972206116 |
Discount , 0.34024614095687866 |
record , 0.2614354193210602 |
proof , 0.9030196070671082 |
NCD , 0.09698042273521423 |
proof , 0.6783639788627625 |
No Claims Bonus , 0.32163602113723755 |
proof , 0.6783639788627625 |
No Claims Discount , 0.32163602113723755 |
renewal , 0.567140519618988 |
policy , 0.43285948038101196 |
Claims Bonus , 0.6251795291900635 |
renewal , 0.21278834342956543 |
policy , 0.1620321422815323 |
Claims Discount , 0.6251795291900635 |
renewal , 0.21278834342956543 |
policy , 0.1620321422815323 |
NCD , 1.0 |
No Claims Bonus , 1.0 |
No Claims Discount , 1.0 |
Claims Bonus , 1.0 |
Claims , 0.7415083050727844 |
Discount , 0.25849172472953796 |
Claims Bonus , 1.0 |
Claims , 0.7679804563522339 |
Discount , 0.23201951384544373 |
policy , 1.0 |
Claims Bonus , 0.5736308693885803 |
policy , 0.4263691008090973 |
Claims Discount , 0.5736308693885803 |
policy , 0.4263691008090973 |
====================
ncd_9_years

NCD , 1.0 |
Claims Bonus , 1.0 |
Claims Discount , 1.0 |
NCD , 0.9657389521598816 |
NCD , 0.03426104038953781 |
My No Claim Bonus , 0.8866880536079407 |
NCD , 0.11331191658973694 |
My No Claim Discount , 0.8866880536079407 |
NCD , 0.11331191658973694 |
NCD , 0.6304736733436584 |
certificate , 0.337531179189682 |
certificate , 0.03199511766433716 |
certificate , 0.5503788590431213 |
No Claims Bonus , 0.31758108735084534 |
certificate , 0.13204003870487213 |
certificate , 0.5503788590431213 |
No Claims Discount , 0.31758108735084534 |
certificate , 0.13204003870487213 |
policy , 0.4463886022567749 |
proof , 0.4116920530796051 |
NCD , 0.1419193595647812 |
policy , 0.34354740381240845 |
Claims Bonus , 0.33960816264152527 |
proof , 0.3168444335460663 |
policy , 0.40766558051109314 |
proof , 0.37597885727882385 |
Claims Discount , 0.21635554730892181 |
NCD , 0.7776267528533936 |
policy , 0.22237326204776764 |
Claims Bonus , 0.5952534079551697 |
policy , 0.23954392969608307 |
NCD , 0.16520267724990845 |
Claims Discount , 0.5952534079551697 |
policy , 0.23954392969608307 |
NCD , 0.16520267724990845 |
NCD , 0.7653694152832031 |
policy , 0.23463059961795807 |
policy , 0.8299643397331238 |
No Claims Bonus , 0.17003564536571503 |
policy , 0.749138355255127 |
Claims Discount , 0.25086167454719543 |
policy , 0.8160145282745361 |
NCD , 0.18398545682430267 |
policy , 0.768804669380188 |
No Claims Bonus , 0.2311953455209732 |
policy , 0.768804669380188 |
No Claims Discount , 0.2311953455209732 |
policy , 0.5685964822769165 |
NCD , 0.4314035475254059 |
policy , 0.5685964822769165 |
No Claims Bonus , 0.4314035475254059 |
policy , 0.6067389845848083 |
Discount , 0.39326098561286926 |
====================
no_ncd

car , 0.28038856387138367 |
proof , 0.2771735191345215 |
NCD , 0.2447584718465805 |
policy , 0.19767941534519196 |
proof , 0.6348455548286438 |
NCD , 0.3651544153690338 |
NCD , 0.5546868443489075 |
claim , 0.3854443430900574 |
policy , 0.059868790209293365 |
email , 0.4779527187347412 |
insurer , 0.3013446033000946 |
NCD , 0.1671442985534668 |
policy , 0.05355837196111679 |
Im , 0.4231400787830353 |
NCD , 0.2891075313091278 |
policy , 0.18832136690616608 |
NCD , 0.09943101555109024 |
vehicles , 0.5390681624412537 |
NCD , 0.401340126991272 |
policy , 0.059591710567474365 |
proof , 0.42926159501075745 |
car , 0.3029257357120514 |
NCD , 0.2678126394748688 |
NCD , 0.4084807336330414 |
problem , 0.35235798358917236 |
NCD , 0.23916126787662506 |
problem , 0.5395330190658569 |
quote , 0.3230609893798828 |
NCD , 0.13740602135658264 |
issue , 0.6354343295097351 |
NCD , 0.3645656406879425 |
policy , 0.5848880410194397 |
NCD , 0.4151119291782379 |
policy , 0.43219104409217834 |
policy , 0.4034571945667267 |
NCD , 0.16435173153877258 |
policy , 0.622927725315094 |
NCD , 0.3770722448825836 |
policy , 0.5801642537117004 |
NCD , 0.4198357164859772 |
insurer , 0.8030367493629456 |
NCD , 0.14398883283138275 |
policy , 0.05297444760799408 |
proof , 0.47369590401649475 |
NCD , 0.37543919682502747 |
policy , 0.1508648842573166 |
certificate , 0.8882561326026917 |
policy , 0.11174383759498596 |
====================
ncd_other_company

policy , 0.5483344793319702 |
company car , 0.24266058206558228 |
NCD , 0.20900492370128632 |
company cars , 0.3144470751285553 |
evidence , 0.31077221035957336 |
NCD , 0.18705065548419952 |
letter , 0.14023081958293915 |
company fleet department , 0.04749925434589386 |
NCD , 0.5200209617614746 |
company car , 0.4799790382385254 |
company car insurance policy , 1.0 |
proof , 0.45677104592323303 |
NCD , 0.2473829984664917 |
employers , 0.16413259506225586 |
company car , 0.11442825198173523 |
impression , 0.017285123467445374 |
company car , 0.5429692268371582 |
letter , 0.26756638288497925 |
employer , 0.18946440517902374 |
policy , 0.6343480348587036 |
NCD , 0.23896116018295288 |
company car , 0.1266908049583435 |
policy , 0.7657576203346252 |
proof , 0.09063764661550522 |
look , 0.06190484017133713 |
NCD , 0.053923349827528 |
company car , 0.027776528149843216 |
NCD , 0.5647560358047485 |
company car , 0.43524396419525146 |
company car , 0.7259379029273987 |
NCD , 0.2740621268749237 |
company vehicle , 0.5136191248893738 |
NCD , 0.4863809049129486 |
company car , 0.6720188856124878 |
car , 0.23662714660167694 |
NCD , 0.09135397523641586 |
NCD , 0.8046671152114868 |
company car , 0.19533288478851318 |
policy , 0.3043481111526489 |
purchase , 0.3008260130882263 |
NCD , 0.2701960802078247 |
company car , 0.06578370928764343 |
NCD , 0.05884607881307602 |
company car , 0.536925733089447 |
NCD , 0.4630742371082306 |
company car , 0.5483024716377258 |
NCD , 0.45169755816459656 |
====================
ncd_mirror

vehicle , 0.4722937345504761 |
NCD , 0.4118633568286896 |
discount , 0.11584292352199554 |
discount , 0.7062773704528809 |
policies , 0.20205309987068176 |
NCD , 0.09166951477527618 |
